ID,Timing,A_Temp,Real_Avg,Amplitude,Duration,Replicate,Bath,Day,Date,Sex,Infection,Spores,Exposed,Include,Notes,Change
1,-10,14,14.36,3,3,1,A,28,02-May,Female,1,379,379,Yes,,
2,-10,14,14.36,3,3,2,A,28,02-May,Female,1,17,17,Yes,,
3,-10,14,14.36,3,3,3,A,28,02-May,Female,1,34,34,Yes,,
4,-10,14,14.36,3,3,4,A,28,02-May,Female,1,443,443,Yes,,
5,-10,14,14.36,3,3,5,A,28,02-May,Female,1,85,85,Yes,,
6,-10,14,14.36,3,6,1,A,28,02-May,Female,1,303,303,Yes,,
7,-10,14,14.36,3,6,2,A,28,02-May,Female,1,316,316,Yes,,
8,-10,14,14.36,3,6,3,A,28,02-May,Female,1,422,422,Yes,,
9,-10,14,14.36,3,6,4,A,28,02-May,Female,1,118,118,Yes,,
10,-10,14,14.36,3,6,5,A,28,02-May,Female,1,284,284,Yes,,
11,-10,14,14.36,6,3,1,A,28,02-May,Female,1,148,148,Yes,,
12,-10,14,14.36,6,3,2,A,28,02-May,Female,1,699,699,Yes,Not in gut - hard to count,
13,-10,14,14.36,6,3,3,A,28,02-May,Female,1,141,141,Yes,,
14,-10,14,14.36,6,3,4,A,28,02-May,Female,1,453,453,Yes,,
15,-10,14,14.36,6,3,5,A,28,02-May,Female,1,5,5,Yes,,
16,-10,14,14.36,6,6,1,A,-8,27-Mar,NA,NA,,,No ,Nothing in jar (pre-infection),
17,-10,14,14.36,6,6,2,A,28,02-May,Female,1,201,201,Yes,,
18,-10,14,14.36,6,6,3,A,28,02-May,Female,1,466,466,Yes,,
19,-10,14,14.36,6,6,4,A,28,02-May,Female,1,122,122,Yes,Some gut still in body,More spores present but input as full number not with a n+
20,-10,14,14.36,6,6,5,A,28,02-May,Female,1,182,182,Yes,,
21,C,14,14.36,0,0,1,A,28,02-May,Female,1,238,238,Yes,,
22,C,14,14.36,0,0,2,A,28,02-May,Female,1,52,52,Yes,,
23,0,14,14.36,3,3,1,A,29,03-May,Female,1,83,83,Yes,,
24,0,14,14.36,3,3,2,A,29,03-May,Female,1,556,556,Yes,,
25,0,14,14.36,3,3,3,A,29,03-May,Female,1,638,638,Yes,,
26,0,14,14.36,3,3,4,A,29,03-May,Female,1,151,151,Yes,,
27,0,14,14.36,3,3,5,A,29,03-May,Female,1,41,41,Yes,,
28,0,14,14.36,3,6,1,A,29,03-May,Female,1,229,229,Yes,,
29,0,14,14.36,3,6,2,A,29,03-May,Female,1,366,366,Yes,,
30,0,14,14.36,3,6,3,A,29,03-May,Female,1,679,679,Yes,,
31,0,14,14.36,3,6,4,A,29,03-May,Female,1,312,312,Yes,,
32,0,14,14.36,3,6,5,A,29,03-May,Female,1,341,341,Yes,,
33,0,14,14.36,6,3,1,A,29,03-May,Female,1,227,227,Yes,,
34,0,14,14.36,6,3,2,A,29,03-May,Female,1,401,401,Yes,,
35,0,14,14.36,6,3,3,A,29,03-May,Female,1,301,301,Yes,,
36,0,14,14.36,6,3,4,A,29,03-May,Female,1,173,173,Yes,,
37,0,14,14.36,6,3,5,A,29,03-May,Female,1,322,322,Yes,,
38,0,14,14.36,6,6,1,A,29,03-May,Female,1,590,590,Yes,,
39,0,14,14.36,6,6,2,A,29,03-May,Female,1,362,362,Yes,,
40,0,14,14.36,6,6,3,A,29,03-May,Female,1,171,171,Yes,,
41,0,14,14.36,6,6,4,A,29,03-May,Female,1,322,322,Yes,,
42,0,14,14.36,6,6,5,A,29,03-May,Female,1,458,458,Yes,,
43,C,14,14.36,0,0,1,A,29,03-May,Female,1,379,379,Yes,,
44,C,14,14.36,0,0,2,A,29,03-May,Female,1,495,495,Yes,,
45,10,14,14.36,3,3,1,A,28,02-May,Female,1,46,46,Yes,,
46,10,14,14.36,3,3,2,A,28,02-May,Female,1,201,201,Yes,,
47,10,14,14.36,3,3,3,A,28,02-May,Female,1,197,197,Yes,,
48,10,14,14.36,3,3,4,A,28,02-May,Female,1,35,35,Yes,,
49,10,14,14.36,3,3,5,A,28,02-May,Female,1,295,295,Yes,,
50,10,14,14.36,3,6,1,A,28,02-May,Female,1,158,158,Yes,,
51,10,14,14.36,3,6,2,A,28,02-May,Female,1,139,139,Yes,Lobes unknown,More spores present but input as full number not with a n+
52,10,14,14.36,3,6,3,A,28,02-May,Female,1,38,38,Yes,,
53,10,14,14.36,3,6,4,A,28,02-May,Female,1,109,109,Yes,,
54,10,14,14.36,3,6,5,A,28,02-May,Female,1,124,124,Yes,,
55,10,14,14.36,6,3,1,A,28,02-May,Female,1,223,223,Yes,,
56,10,14,14.36,6,3,2,A,28,02-May,Female,1,191,191,Yes,,
57,10,14,14.36,6,3,3,A,28,02-May,Female,1,202,202,Yes,,
58,10,14,14.36,6,3,4,A,28,02-May,Female,1,243,243,Yes,,
59,10,14,14.36,6,3,5,A,28,02-May,Female,1,123,123,Yes,,
60,10,14,14.36,6,6,1,A,28,02-May,Female,1,96,96,Yes,,
61,10,14,14.36,6,6,2,A,28,02-May,Female,1,983,983,Yes,,
62,10,14,14.36,6,6,3,A,28,02-May,Female,1,112,112,Yes,,
63,10,14,14.36,6,6,4,A,28,02-May,Female,1,225,225,Yes,,
64,10,14,14.36,6,6,5,A,28,02-May,Female,1,467,467,Yes,,
65,C,14,14.36,0,0,1,A,28,02-May,Female,1,261,261,Yes,,
66,C,14,14.36,0,0,2,A,28,02-May,Female,1,234,234,Yes,,
67,20,14,14.36,3,3,1,A,29,03-May,Female,1,64,64,Yes,,
68,20,14,14.36,3,3,2,A,29,03-May,Female,1,380,380,Yes,,
69,20,14,14.36,3,3,3,A,29,03-May,Female,1,132,132,Yes,,
70,20,14,14.36,3,3,4,A,29,03-May,Female,1,126,126,Yes,,
71,20,14,14.36,3,3,5,A,29,03-May,Female,1,45,45,Yes,,
72,20,14,14.36,3,6,1,A,29,03-May,Female,1,524,524,Yes,,
73,20,14,14.36,3,6,2,A,29,03-May,Female,1,373,373,Yes,,
74,20,14,14.36,3,6,3,A,29,03-May,Female,1,190,190,Yes,,
75,20,14,14.36,3,6,4,A,29,03-May,Female,1,406,406,Yes,,
76,20,14,14.36,3,6,5,A,29,03-May,Female,1,91,91,Yes,,
77,20,14,14.36,6,3,1,A,29,03-May,Female,1,49,49,Yes,,
78,20,14,14.36,6,3,2,A,29,03-May,Female,1,371,371,Yes,,
79,20,14,14.36,6,3,3,A,29,03-May,Female,1,303,303,Yes,,
80,20,14,14.36,6,3,4,A,29,03-May,Female,1,601,601,Yes,,
81,20,14,14.36,6,3,5,A,29,03-May,Female,1,73,73,Yes,,
82,20,14,14.36,6,6,1,A,29,03-May,Female,1,89,89,Yes,,
83,20,14,14.36,6,6,2,A,29,03-May,Female,1,1434,1434,Yes,,
84,20,14,14.36,6,6,3,A,29,03-May,Female,1,8,8,Yes,,
85,20,14,14.36,6,6,4,A,29,03-May,Female,1,561,561,Yes,,
86,20,14,14.36,6,6,5,A,29,03-May,Female,1,871,871,Yes,,
87,C,14,14.36,0,0,1,A,29,03-May,Female,1,51,51,Yes,,
88,C,14,14.36,0,0,2,A,29,03-May,Female,1,69,69,Yes,,
89,-10,14,14.04,3,3,6,B,30,04-May,Female,1,56,56,Yes,,
90,-10,14,14.04,3,3,7,B,30,04-May,Female,1,104,104,Yes,,
91,-10,14,14.04,3,3,8,B,30,04-May,Female,1,5,5,Yes,,
92,-10,14,14.04,3,3,9,B,30,04-May,Female,1,20,20,Yes,,
93,-10,14,14.04,3,3,10,B,30,04-May,Female,1,29,29,Yes,,
94,-10,14,14.04,3,6,6,B,30,04-May,Female,1,64,64,Yes,,
95,-10,14,14.04,3,6,7,B,30,04-May,Female,1,142,142,Yes,,
96,-10,14,14.04,3,6,8,B,30,04-May,Female,0,,0,Yes,,
97,-10,14,14.04,3,6,9,B,30,04-May,Female,1,94,94,Yes,,
98,-10,14,14.04,3,6,10,B,30,04-May,Female,1,284,284,Yes,,
99,-10,14,14.04,6,3,6,B,30,04-May,Female,0,,0,Yes,,
100,-10,14,14.04,6,3,7,B,30,04-May,Female,1,107,107,Yes,,
101,-10,14,14.04,6,3,8,B,30,04-May,Female,1,253,253,Yes,,
102,-10,14,14.04,6,3,9,B,30,04-May,Female,1,40,40,Yes,,
103,-10,14,14.04,6,3,10,B,30,04-May,Female,1,38,38,Yes,,
104,-10,14,14.04,6,6,6,B,30,04-May,Female,1,248,248,Yes,,
105,-10,14,14.04,6,6,7,B,30,04-May,Female,1,200,200,Yes,,
106,-10,14,14.04,6,6,8,B,30,04-May,Female,1,417,417,Yes,,
107,-10,14,14.04,6,6,9,B,30,04-May,Female,1,165,165,Yes,,
108,-10,14,14.04,6,6,10,B,30,04-May,Female,1,121,121,Yes,,
109,C,14,14.04,0,0,3,B,30,04-May,Female,1,13,13,Yes,,
110,C,14,14.04,0,0,4,B,30,04-May,Female,1,11,11,Yes,,
111,0,14,14.04,3,3,6,B,32,06-May,Female,1,95,95,Yes,,
112,0,14,14.04,3,3,7,B,32,06-May,Female,1,244,244,Yes,,
113,0,14,14.04,3,3,8,B,32,06-May,Female,1,57,57,Yes,,
114,0,14,14.04,3,3,9,B,32,06-May,Female,1,75,75,Yes,,
115,0,14,14.04,3,3,10,B,32,06-May,Female,1,25,25,Yes,,
116,0,14,14.04,3,6,6,B,32,06-May,Female,1,203,203,Yes,,
117,0,14,14.04,3,6,7,B,32,06-May,Female,1,78,78,Yes,,
118,0,14,14.04,3,6,8,B,32,06-May,Female,1,784,784,Yes,,
119,0,14,14.04,3,6,9,B,32,06-May,Female,1,76,76,Yes,,
120,0,14,14.04,3,6,10,B,32,06-May,Female,1,447,447,Yes,,
121,0,14,14.04,6,3,6,B,32,06-May,Female,1,138,138,Yes,,
122,0,14,14.04,6,3,7,B,32,06-May,Female,1,275,275,Yes,,
123,0,14,14.04,6,3,8,B,32,06-May,Female,1,30,30,Yes,,
124,0,14,14.04,6,3,9,B,32,06-May,Female,1,514,514,Yes,,
125,0,14,14.04,6,3,10,B,28,02-May,Female,1,174,174,Yes,Natural death,
126,0,14,14.04,6,6,6,B,-5,30-Mar,Female,NA,,,No ,Unnatural death (pre-infection),
127,0,14,14.04,6,6,7,B,-5,30-Mar,Female,NA,,,No ,Unnatural death (pre-infection),
128,0,14,14.04,6,6,8,B,-5,30-Mar,Female,NA,,,No ,Unnatural death (pre-infection),
